Product_ID,Drug_Category,Region,Forecast_30d_Total_Demand,Forecast_Avg_Daily_Demand,Forecast_Std_Daily_Demand,Category_CV,Current_Inventory_Level,Demand_Std_Daily,Safety_Stock,Reorder_Point,Recommended_Stock_Level_30d,Suggested_Order_Qty,Stock_Status,Lead_Time_Days,Service_Level
DRG00181,Antibiotic,North,150382.37,5012.75,88.6,0.58,610,2917.14,12734.73,47823.95,163117.1,162507.1,REORDER NOW,7,95%
DRG00967,Diabetes,East,149948.77,4998.29,87.51,0.6,1804,3015.04,13162.12,48150.17,163110.89,161306.89,REORDER NOW,7,95%
DRG00521,Vaccine,East,149669.47,4988.98,89.17,0.54,1367,2702.44,11797.48,46720.36,161466.95,160099.95,REORDER NOW,7,95%
DRG00853,Vaccine,South,149905.05,4996.83,88.81,0.54,1706,2706.7,11816.05,46793.9,161721.1,160015.1,REORDER NOW,7,95%
DRG00707,Antibiotic,South,149304.44,4976.81,88.77,0.58,2773,2896.23,12643.45,47481.15,161947.89,159174.89,REORDER NOW,7,95%
DRG00617,Cardiac,North,149227.29,4974.24,80.15,0.53,2283,2658.01,11603.53,46423.23,160830.81,158547.81,REORDER NOW,7,95%
DRG00197,Vaccine,West,150589.39,5019.65,93.18,0.54,4671,2719.05,11870.0,47007.52,162459.39,157788.39,REORDER NOW,7,95%
DRG00835,Diabetes,East,147742.75,4924.76,86.22,0.6,2946,2970.68,12968.48,47441.79,160711.23,157765.23,REORDER NOW,7,95%
DRG00858,Painkiller,North,150934.03,5031.13,82.3,0.56,5636,2794.21,12198.08,47416.02,163132.1,157496.1,REORDER NOW,7,95%
DRG00381,Painkiller,North,146735.54,4891.18,80.01,0.56,1345,2716.48,11858.77,46097.06,158594.31,157249.31,REORDER NOW,7,95%
DRG00105,Antibiotic,East,148766.62,4958.89,88.94,0.58,4480,2885.79,12597.9,47310.11,161364.52,156884.52,REORDER NOW,7,95%
DRG00277,Painkiller,South,146925.23,4897.51,80.79,0.56,2102,2719.99,11874.1,46156.65,158799.32,156697.32,REORDER NOW,7,95%
DRG00777,Vaccine,West,146114.94,4870.5,90.41,0.54,1061,2638.26,11517.3,45610.79,157632.25,156571.25,REORDER NOW,7,95%
DRG00335,Cardiac,South,145611.19,4853.71,78.86,0.53,525,2593.6,11322.35,45298.3,156933.55,156408.55,REORDER NOW,7,95%
