YearMonth,Product_ID,Drug_Category,Predicted_Sales_Volume_Month
2026-09,DRG00001,Vaccine,8195.2
2026-09,DRG00002,Painkiller,5114.6
2026-09,DRG00003,Diabetes,15919.84
2026-09,DRG00004,Diabetes,18723.63
2026-09,DRG00005,Cardiac,8566.94
2026-09,DRG00006,Painkiller,12463.61
2026-09,DRG00007,Vaccine,17813.03
2026-09,DRG00008,Painkiller,14493.91
2026-09,DRG00009,Painkiller,18267.54
2026-09,DRG00010,Diabetes,1599.76
2026-09,DRG00011,Vaccine,11667.05
2026-09,DRG00012,Antibiotic,10035.6
2026-09,DRG00013,Diabetes,11499.26
2026-09,DRG00014,Vaccine,8251.25
2026-09,DRG00015,Cardiac,15991.91
2026-09,DRG00016,Diabetes,3215.18
2026-09,DRG00017,Cardiac,11868.64
2026-09,DRG00018,Diabetes,7053.04
2026-09,DRG00019,Painkiller,5677.9
2026-09,DRG00020,Vaccine,13050.59
2026-09,DRG00021,Cardiac,1085.67
2026-09,DRG00022,Diabetes,13086.41
2026-09,DRG00023,Cardiac,6006.87
2026-09,DRG00024,Diabetes,8264.11
2026-09,DRG00025,Diabetes,19614.66
2026-09,DRG00026,Antibiotic,7411.6
2026-09,DRG00027,Antibiotic,17285.82
2026-09,DRG00028,Antibiotic,4645.48
2026-09,DRG00029,Cardiac,19256.86
2026-09,DRG00030,Painkiller,2737.91
2026-09,DRG00031,Diabetes,12182.85
2026-09,DRG00032,Vaccine,16161.99
2026-09,DRG00033,Antibiotic,9936.63
2026-09,DRG00034,Cardiac,3752.31
2026-09,DRG00035,Cardiac,2348.86
2026-09,DRG00036,Cardiac,2556.02
2026-09,DRG00037,Vaccine,9445.53
2026-09,DRG00038,Vaccine,11068.07
2026-09,DRG00039,Antibiotic,15584.94
2026-09,DRG00040,Vaccine,6492.31
2026-09,DRG00041,Antibiotic,3891.52
2026-09,DRG00042,Vaccine,16056.6
2026-09,DRG00043,Vaccine,12639.05
2026-09,DRG00044,Vaccine,9758.27
2026-09,DRG00045,Antibiotic,13639.66
2026-09,DRG00046,Diabetes,12555.83
2026-09,DRG00047,Antibiotic,14945.94
2026-09,DRG00048,Diabetes,19066.44
2026-09,DRG00049,Cardiac,4168.89
2026-09,DRG00050,Cardiac,13472.53
2026-09,DRG00051,Antibiotic,15174.96
2026-09,DRG00052,Diabetes,12984.19
2026-09,DRG00053,Diabetes,12128.19
2026-09,DRG00054,Diabetes,16341.19
2026-09,DRG00055,Cardiac,13263.56
2026-09,DRG00056,Antibiotic,17874.05
2026-09,DRG00057,Painkiller,13690.95
2026-09,DRG00058,Diabetes,19584.39
2026-09,DRG00059,Diabetes,11102.66
2026-09,DRG00060,Painkiller,4502.92
2026-09,DRG00061,Antibiotic,672.96
2026-09,DRG00062,Diabetes,11775.79
2026-09,DRG00063,Antibiotic,811.51
2026-09,DRG00064,Diabetes,3441.38
2026-09,DRG00065,Vaccine,8350.23
2026-09,DRG00066,Diabetes,12037.12
2026-09,DRG00067,Vaccine,9073.41
2026-09,DRG00068,Antibiotic,14231.11
2026-09,DRG00069,Diabetes,17458.92
2026-09,DRG00070,Cardiac,17652.12
2026-09,DRG00071,Cardiac,4093.07
2026-09,DRG00072,Painkiller,2670.34
2026-09,DRG00073,Cardiac,15968.91
2026-09,DRG00074,Vaccine,17736.14
2026-09,DRG00075,Cardiac,16591.02
2026-09,DRG00076,Cardiac,10424.85
2026-09,DRG00077,Cardiac,9981.56
2026-09,DRG00078,Diabetes,668.91
2026-09,DRG00079,Painkiller,18114.66
2026-09,DRG00080,Antibiotic,5550.26
2026-09,DRG00081,Painkiller,15508.25
2026-09,DRG00082,Vaccine,9690.99
2026-09,DRG00083,Diabetes,1401.15
2026-09,DRG00084,Diabetes,7155.36
2026-09,DRG00085,Cardiac,19364.78
2026-09,DRG00086,Cardiac,3696.84
2026-09,DRG00087,Vaccine,11333.2
2026-09,DRG00088,Diabetes,10180.65
2026-09,DRG00089,Antibiotic,15209.77
2026-09,DRG00090,Painkiller,8458.3
2026-09,DRG00091,Diabetes,8181.27
2026-09,DRG00092,Antibiotic,787.8
2026-09,DRG00093,Antibiotic,7727.16
2026-09,DRG00094,Painkiller,13007.02
2026-09,DRG00095,Antibiotic,9719.81
2026-09,DRG00096,Vaccine,835.42
2026-09,DRG00097,Antibiotic,12897.82
2026-09,DRG00098,Vaccine,1115.91
2026-09,DRG00099,Antibiotic,15646.72
2026-09,DRG00100,Cardiac,1046.05
2026-09,DRG00101,Antibiotic,8855.87
2026-09,DRG00102,Vaccine,8404.38
2026-09,DRG00103,Antibiotic,2193.39
2026-09,DRG00104,Antibiotic,9437.36
2026-09,DRG00105,Antibiotic,19484.15
2026-09,DRG00106,Vaccine,2537.93
2026-09,DRG00107,Antibiotic,10947.16
2026-09,DRG00108,Painkiller,10099.78
2026-09,DRG00109,Painkiller,15977.66
2026-09,DRG00110,Vaccine,11822.56
2026-09,DRG00111,Cardiac,18679.26
2026-09,DRG00112,Painkiller,17402.2
2026-09,DRG00113,Diabetes,15855.04
2026-09,DRG00114,Painkiller,7081.11
2026-09,DRG00115,Diabetes,6878.18
2026-09,DRG00116,Vaccine,19104.99
2026-09,DRG00117,Cardiac,18893.88
2026-09,DRG00118,Diabetes,16559.89
2026-09,DRG00119,Diabetes,7876.5
2026-09,DRG00120,Painkiller,13094.18
2026-09,DRG00121,Diabetes,2284.68
2026-09,DRG00122,Vaccine,9758.26
2026-09,DRG00123,Vaccine,10396.23
2026-09,DRG00124,Vaccine,1844.02
2026-09,DRG00125,Painkiller,7670.92
2026-09,DRG00126,Cardiac,7191.95
2026-09,DRG00127,Painkiller,443.77
2026-09,DRG00128,Vaccine,2512.77
2026-09,DRG00129,Painkiller,13223.62
2026-09,DRG00130,Vaccine,9568.25
2026-09,DRG00131,Antibiotic,16397.41
2026-09,DRG00132,Antibiotic,1880.62
2026-09,DRG00133,Diabetes,7222.27
2026-09,DRG00134,Cardiac,1410.11
2026-09,DRG00135,Antibiotic,9354.27
2026-09,DRG00136,Vaccine,2173.34
2026-09,DRG00137,Painkiller,3934.51
2026-09,DRG00138,Painkiller,13116.69
2026-09,DRG00139,Diabetes,5082.12
2026-09,DRG00140,Painkiller,13165.49
2026-09,DRG00141,Antibiotic,5573.69
2026-09,DRG00142,Painkiller,19029.5
2026-09,DRG00143,Antibiotic,4022.54
2026-09,DRG00144,Antibiotic,977.83
2026-09,DRG00145,Cardiac,19221.2
2026-09,DRG00146,Diabetes,8767.79
2026-09,DRG00147,Vaccine,16287.52
2026-09,DRG00148,Antibiotic,15992.68
2026-09,DRG00149,Diabetes,16515.41
2026-09,DRG00150,Vaccine,11462.26
2026-09,DRG00151,Painkiller,2147.26
2026-09,DRG00152,Diabetes,12054.72
2026-09,DRG00153,Diabetes,15974.65
2026-09,DRG00154,Diabetes,1971.98
2026-09,DRG00155,Painkiller,4956.77
2026-09,DRG00156,Painkiller,15419.83
2026-09,DRG00157,Diabetes,12254.9
2026-09,DRG00158,Cardiac,9177.89
2026-09,DRG00159,Antibiotic,7150.24
2026-09,DRG00160,Painkiller,13594.48
2026-09,DRG00161,Cardiac,8270.4
2026-09,DRG00162,Painkiller,18630.5
2026-09,DRG00163,Diabetes,10564.75
2026-09,DRG00164,Cardiac,1030.25
2026-09,DRG00165,Vaccine,17952.83
2026-09,DRG00166,Antibiotic,15850.17
2026-09,DRG00167,Antibiotic,14539.88
2026-09,DRG00168,Painkiller,12982.59
2026-09,DRG00169,Antibiotic,7621.44
2026-09,DRG00170,Vaccine,15930.85
2026-09,DRG00171,Cardiac,6827.4
2026-09,DRG00172,Cardiac,5056.16
2026-09,DRG00173,Diabetes,15126.44
2026-09,DRG00174,Cardiac,19732.33
2026-09,DRG00175,Painkiller,13154.67
2026-09,DRG00176,Vaccine,13298.14
2026-09,DRG00177,Diabetes,910.35
2026-09,DRG00178,Painkiller,14509.76
2026-09,DRG00179,Painkiller,6332.61
2026-09,DRG00180,Painkiller,11442.98
2026-09,DRG00181,Antibiotic,19700.93
2026-09,DRG00182,Painkiller,15088.25
2026-09,DRG00183,Antibiotic,7150.24
2026-09,DRG00184,Cardiac,7405.93
2026-09,DRG00185,Antibiotic,5613.6
2026-09,DRG00186,Painkiller,13778.07
2026-09,DRG00187,Vaccine,11374.09
2026-09,DRG00188,Vaccine,12232.47
2026-09,DRG00189,Cardiac,12458.13
2026-09,DRG00190,Painkiller,1881.82
2026-09,DRG00191,Antibiotic,12414.12
2026-09,DRG00192,Vaccine,3008.63
2026-09,DRG00193,Diabetes,5948.94
2026-09,DRG00194,Painkiller,3328.02
2026-09,DRG00195,Painkiller,1596.66
2026-09,DRG00196,Diabetes,4690.28
2026-09,DRG00197,Vaccine,19710.43
2026-09,DRG00198,Diabetes,12984.19
2026-09,DRG00199,Cardiac,5188.89
2026-09,DRG00200,Antibiotic,12401.13
2026-09,DRG00201,Antibiotic,1298.42
2026-09,DRG00202,Vaccine,12737.98
2026-09,DRG00203,Diabetes,7737.02
2026-09,DRG00204,Painkiller,1454.15
2026-09,DRG00205,Painkiller,11386.02
2026-09,DRG00206,Painkiller,11683.15
2026-09,DRG00207,Cardiac,17622.41
2026-09,DRG00208,Cardiac,8852.24
2026-09,DRG00209,Painkiller,14101.65
2026-09,DRG00210,Vaccine,9379.66
2026-09,DRG00211,Cardiac,4315.51
2026-09,DRG00212,Cardiac,18195.84
2026-09,DRG00213,Antibiotic,4105.68
2026-09,DRG00214,Antibiotic,2134.0
2026-09,DRG00215,Vaccine,9731.12
2026-09,DRG00216,Cardiac,8349.66
2026-09,DRG00217,Cardiac,13645.58
2026-09,DRG00218,Diabetes,16742.51
2026-09,DRG00219,Vaccine,19461.11
2026-09,DRG00220,Vaccine,15213.39
2026-09,DRG00221,Diabetes,2447.02
2026-09,DRG00222,Diabetes,1456.56
2026-09,DRG00223,Antibiotic,19124.02
2026-09,DRG00224,Vaccine,16956.27
2026-09,DRG00225,Vaccine,5890.59
2026-09,DRG00226,Diabetes,7103.49
2026-09,DRG00227,Painkiller,13362.92
2026-09,DRG00228,Painkiller,5899.02
2026-09,DRG00229,Antibiotic,15695.78
2026-09,DRG00230,Painkiller,12396.26
2026-09,DRG00231,Painkiller,9643.46
2026-09,DRG00232,Painkiller,14952.32
2026-09,DRG00233,Cardiac,18528.69
2026-09,DRG00234,Antibiotic,2375.15
2026-09,DRG00235,Diabetes,6973.21
2026-09,DRG00236,Painkiller,8712.28
